,server,hour,application,success,error
126,learnbuddy-backend-prod-5969b7c99c-968bv,7,100,0,0
127,learnbuddy-backend-prod-5969b7c99c-k89b7,7,100,0,0
128,fsm-backend-prod-579b7846b9-krvsh,7,10014,0,0
129,learnbuddy-backend-prod-5969b7c99c-vfqts,7,338,4,5
130,nginx-ingress-controller-5b6697898-7wjsr,7,665,0,0
131,cert-manager-cainjector-658b6dbf77-8t625,7,44,0,0
132,fsm-frontend-prod-c97f7b8c6-88psm,7,584,0,0
133,fsm-backend-prod-579b7846b9-krvsh,8,7998,0,0
134,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,8,322,0,0
135,learnbuddy-backend-prod-5969b7c99c-k9bqm,8,150,3,4
136,fsm-frontend-prod-c97f7b8c6-6wb8r,8,892,0,0
137,cert-manager-cainjector-658b6dbf77-8t625,8,11,0,0
138,fsm-frontend-prod-c97f7b8c6-88psm,8,893,0,1
139,cert-manager-5695c78d49-q9s9j,8,1356,0,0
140,nginx-ingress-controller-5b6697898-zqxl4,8,870,0,0
141,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,8,18,0,0
142,fsm-backend-cron-prod-6bd6459455-p9p49,8,1138,0,0
143,fsm-backend-prod-579b7846b9-stpj9,8,9035,0,0
144,nginx-ingress-controller-5b6697898-7wjsr,8,989,0,0
145,learnbuddy-backend-stg-75587bf7c-r7529,8,596,100,0
146,fsm-backend-prod-579b7846b9-qbxjw,8,6152,0,0
147,cert-manager-5695c78d49-q9s9j,9,1360,0,0
148,nginx-ingress-controller-5b6697898-zqxl4,9,1651,0,0
149,fsm-backend-prod-579b7846b9-stpj9,9,16243,0,0
150,fsm-backend-prod-579b7846b9-qbxjw,9,9612,0,0
151,learnbuddy-backend-prod-5969b7c99c-k9bqm,9,3662,341,18
152,centralized-user-prod-78bc9f7b96-txbcl,9,656,0,0
153,nginx-ingress-controller-5b6697898-7wjsr,9,1670,0,0
154,learnbuddy-backend-stg-75587bf7c-r7529,9,592,100,0
155,fsm-backend-prod-579b7846b9-krvsh,9,11998,0,0
156,fsm-frontend-prod-c97f7b8c6-88psm,9,920,0,0
157,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,9,242,0,0
158,fsm-backend-cron-prod-6bd6459455-p9p49,9,1208,0,0
159,fsm-frontend-prod-c97f7b8c6-6wb8r,9,920,0,0
160,cert-manager-cainjector-658b6dbf77-8t625,9,56,0,0
161,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,9,292,0,0
162,nginx-ingress-controller-5b6697898-zqxl4,10,3105,0,0
163,cert-manager-cainjector-658b6dbf77-8t625,10,90,0,0
164,learnbuddy-backend-prod-5969b7c99c-k9bqm,10,3487,304,15
165,fsm-backend-prod-579b7846b9-qbxjw,10,7957,0,0
166,centralized-user-prod-78bc9f7b96-txbcl,10,34316,0,0
167,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,10,296,0,0
168,fsm-backend-prod-579b7846b9-stpj9,10,10467,0,0
169,learnbuddy-frontend-stg-76c798ccf7-bqqgd,10,2,0,0
170,fsm-frontend-prod-c97f7b8c6-6wb8r,10,1054,0,2
171,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,10,560,0,0
172,fsm-backend-cron-prod-6bd6459455-p9p49,10,125000,0,0
173,fsm-frontend-prod-c97f7b8c6-88psm,10,1056,0,2
174,nginx-ingress-controller-5b6697898-7wjsr,10,2767,0,0
175,learnbuddy-backend-stg-75587bf7c-r7529,10,596,100,0
176,cert-manager-5695c78d49-q9s9j,10,1363,0,0
177,fsm-backend-prod-579b7846b9-krvsh,10,12801,0,0
178,fsm-backend-cron-prod-6bd6459455-p9p49,11,81362,0,0
179,fsm-frontend-prod-c97f7b8c6-6wb8r,11,1124,0,2
180,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,11,56,0,0
181,learnbuddy-backend-prod-5969b7c99c-k9bqm,11,2409,139,7
182,fsm-frontend-prod-c97f7b8c6-88psm,11,1122,0,2
183,learnbuddy-backend-stg-75587bf7c-r7529,11,596,100,0
184,fsm-backend-prod-579b7846b9-qbxjw,11,8546,0,0
185,cert-manager-cainjector-658b6dbf77-8t625,11,187,0,0
186,learnbuddy-backend-prod-5969b7c99c-fr2bn,11,100,0,0
187,nginx-ingress-controller-5b6697898-zqxl4,11,3673,0,0
188,fsm-backend-prod-579b7846b9-stpj9,11,18440,0,0
189,learnbuddy-backend-prod-5969b7c99c-lcgsm,11,100,0,0
190,learnbuddy-backend-prod-5969b7c99c-bzlkg,11,100,0,0
191,cert-manager-5695c78d49-q9s9j,11,1357,0,0
192,fsm-backend-prod-579b7846b9-krvsh,11,13360,0,0
193,nginx-ingress-controller-5b6697898-7wjsr,11,3237,0,0
194,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,11,352,0,0
195,fsm-frontend-prod-c97f7b8c6-88psm,12,1234,0,0
196,learnbuddy-backend-prod-5969b7c99c-k9bqm,12,1753,104,13
197,cert-manager-5695c78d49-q9s9j,12,1360,0,0
198,fsm-backend-cron-prod-6bd6459455-p9p49,12,7523,0,0
199,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,12,276,0,0
200,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,12,124,0,0
201,fsm-frontend-prod-c97f7b8c6-6wb8r,12,1231,0,3
202,cert-manager-cainjector-658b6dbf77-8t625,12,211,0,0
203,fsm-backend-prod-579b7846b9-qbxjw,12,23967,0,0
204,centralized-user-prod-78bc9f7b96-txbcl,12,296,0,0
205,fsm-backend-prod-579b7846b9-stpj9,12,40929,0,0
206,fsm-backend-prod-579b7846b9-krvsh,12,20648,0,0
207,learnbuddy-backend-stg-75587bf7c-r7529,12,600,100,0
208,nginx-ingress-controller-5b6697898-7wjsr,12,4339,0,0
209,nginx-ingress-controller-5b6697898-zqxl4,12,4327,0,0
210,fsm-backend-prod-579b7846b9-qbxjw,13,13612,0,0
211,learnbuddy-backend-stg-75587bf7c-r7529,13,600,100,0
212,nginx-ingress-controller-5b6697898-zqxl4,13,1816,0,0
213,cert-manager-cainjector-658b6dbf77-8t625,13,123,0,0
214,nginx-ingress-controller-5b6697898-7wjsr,13,1710,0,0
215,cert-manager-5695c78d49-q9s9j,13,1360,0,0
216,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,13,152,0,0
217,fsm-frontend-prod-c97f7b8c6-88psm,13,1150,0,2
218,centralized-user-prod-78bc9f7b96-txbcl,13,354,0,0
219,fsm-backend-cron-prod-6bd6459455-p9p49,13,6864,0,0
220,fsm-backend-prod-579b7846b9-krvsh,13,19780,0,0
221,learnbuddy-backend-prod-5969b7c99c-k9bqm,13,1956,106,24
222,fsm-frontend-prod-c97f7b8c6-6wb8r,13,1153,0,1
223,fsm-backend-prod-579b7846b9-stpj9,13,26307,0,0
224,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,13,362,0,0
225,fsm-backend-prod-579b7846b9-qbxjw,14,50134,0,0
226,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,14,448,0,0
227,fsm-backend-cron-prod-6bd6459455-p9p49,14,7364,0,0
228,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,14,302,0,0
229,fsm-backend-prod-579b7846b9-krvsh,14,92300,0,0
230,fsm-frontend-prod-c97f7b8c6-6wb8r,14,1062,0,0
231,nginx-ingress-controller-5b6697898-zqxl4,14,6012,0,0
232,cert-manager-5695c78d49-q9s9j,14,1360,0,0
233,nginx-ingress-controller-5b6697898-7wjsr,14,5823,0,0
234,cert-manager-cainjector-658b6dbf77-8t625,14,45,0,0
235,runner-gitlab-runner-6bf97bb9b9-7q8hq,14,4,0,0
236,centralized-user-prod-78bc9f7b96-txbcl,14,32103,0,0
237,fsm-backend-prod-579b7846b9-stpj9,14,121676,0,0
238,learnbuddy-backend-prod-5969b7c99c-f4g5n,14,1226,87,1
239,fsm-frontend-prod-c97f7b8c6-88psm,14,1062,0,0
240,learnbuddy-backend-prod-5969b7c99c-k9bqm,14,853,71,7
241,learnbuddy-backend-stg-75587bf7c-r7529,14,596,100,0
242,centralized-user-prod-78bc9f7b96-q9gdm,15,13434,0,0
243,fsm-backend-prod-579b7846b9-stpj9,15,183035,0,0
244,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,15,450,0,0
245,nginx-ingress-controller-5b6697898-7wjsr,15,6523,0,0
246,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,15,357,0,1
247,learnbuddy-backend-stg-75587bf7c-r7529,15,600,100,0
248,fsm-backend-prod-579b7846b9-krvsh,15,119181,0,0
249,fsm-backend-cron-prod-6bd6459455-p9p49,15,9395,0,0
250,learnbuddy-backend-prod-5969b7c99c-f4g5n,15,4781,232,19
251,fsm-frontend-prod-c97f7b8c6-88psm,15,1242,0,0
252,fsm-backend-prod-579b7846b9-qbxjw,15,93160,0,0
253,centralized-user-prod-78bc9f7b96-txbcl,15,16526,0,0
254,fsm-assignment-stg-58b984db6f-jrnqc,15,2,0,0
255,cert-manager-5695c78d49-q9s9j,15,1360,0,0
256,nginx-ingress-controller-5b6697898-zqxl4,15,5988,0,0
257,fsm-frontend-prod-c97f7b8c6-6wb8r,15,1239,0,1
258,cert-manager-cainjector-658b6dbf77-8t625,15,173,0,0
259,centralized-user-prod-78bc9f7b96-fw74g,15,524,0,0
260,nginx-ingress-controller-5b6697898-7wjsr,16,3454,0,0
261,fsm-backend-prod-579b7846b9-qbxjw,16,44180,0,0
262,fsm-frontend-prod-c97f7b8c6-6wb8r,16,1140,0,0
263,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,16,116,0,0
264,learnbuddy-backend-prod-5969b7c99c-f4g5n,16,1581,92,9
265,fsm-backend-prod-579b7846b9-krvsh,16,46429,0,0
266,cert-manager-5695c78d49-q9s9j,16,1360,0,0
267,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,16,264,0,0
268,fsm-frontend-prod-c97f7b8c6-88psm,16,1148,0,0
269,learnbuddy-backend-stg-75587bf7c-r7529,16,592,100,0
270,fsm-backend-cron-prod-6bd6459455-p9p49,16,7459,0,0
271,nginx-ingress-controller-5b6697898-zqxl4,16,3257,0,0
272,fsm-backend-prod-579b7846b9-stpj9,16,53155,0,0
273,cert-manager-cainjector-658b6dbf77-8t625,16,18,0,0
274,centralized-user-prod-78bc9f7b96-txbcl,16,282,0,0
275,learnbuddy-frontend-stg-76c798ccf7-bqqgd,17,4,0,0
276,cert-manager-cainjector-658b6dbf77-8t625,17,195,0,0
277,learnbuddy-backend-stg-75587bf7c-r7529,17,600,100,0
278,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,17,325,0,1
279,fsm-backend-cron-prod-6bd6459455-p9p49,17,7670,0,0
280,fsm-frontend-prod-c97f7b8c6-fklwx,17,1246,0,0
281,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,17,90,0,0
282,runner-gitlab-runner-6bf97bb9b9-7q8hq,17,1,0,0
283,nginx-ingress-controller-5b6697898-7wjsr,17,3743,0,0
284,centralized-user-prod-78bc9f7b96-txbcl,17,2248,0,0
285,nginx-ingress-controller-5b6697898-zqxl4,17,4081,0,0
286,cert-manager-5695c78d49-q9s9j,17,1360,0,0
287,fsm-backend-prod-579b7846b9-krvsh,17,25578,0,0
288,fsm-backend-prod-579b7846b9-qbxjw,17,33252,0,0
289,fsm-backend-prod-579b7846b9-stpj9,17,38325,0,0
290,fsm-frontend-prod-c97f7b8c6-88psm,17,86,0,0
291,fsm-frontend-prod-c97f7b8c6-v7r8w,17,1218,0,0
292,fsm-frontend-prod-c97f7b8c6-6wb8r,17,34,0,0
293,learnbuddy-backend-prod-5969b7c99c-f4g5n,17,5721,116,5
294,fsm-backend-prod-579b7846b9-stpj9,18,53247,0,0
295,nginx-ingress-controller-5b6697898-zqxl4,18,7111,0,0
296,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,18,318,0,0
297,learnbuddy-backend-prod-5969b7c99c-f4g5n,18,5013,217,59
298,centralized-user-prod-78bc9f7b96-txbcl,18,2097,0,0
299,learnbuddy-backend-stg-75587bf7c-r7529,18,580,100,0
300,nginx-ingress-controller-5b6697898-7wjsr,18,6743,0,0
301,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,18,162,0,0
302,fsm-frontend-prod-c97f7b8c6-fklwx,18,1336,0,2
303,learnbuddy-backend-prod-5969b7c99c-8z7zr,18,292,14,0
304,fsm-backend-prod-579b7846b9-qbxjw,18,40015,0,0
305,fsm-backend-cron-prod-6bd6459455-p9p49,18,5667,0,0
306,cert-manager-cainjector-658b6dbf77-8t625,18,135,0,0
307,fsm-backend-prod-579b7846b9-krvsh,18,46020,0,0
308,cert-manager-5695c78d49-q9s9j,18,1360,0,0
309,fsm-frontend-prod-c97f7b8c6-v7r8w,18,1331,0,3
310,runner-gitlab-runner-6bf97bb9b9-7q8hq,19,1,0,0
311,learnbuddy-backend-prod-5969b7c99c-f4g5n,19,4932,150,12
312,fsm-backend-prod-579b7846b9-krvsh,19,33353,0,0
313,fsm-frontend-prod-c97f7b8c6-fklwx,19,1161,0,1
314,nginx-ingress-controller-5b6697898-7wjsr,19,5358,0,0
315,cert-manager-5695c78d49-q9s9j,19,1360,0,0
316,centralized-user-prod-78bc9f7b96-txbcl,19,232,0,0
